"Asset ID","Asset Class","Park ID","Park Name","Asset Type","Asset Size","Primary Field","Location","Installation Date","Asset Description","Geometry Type","Point","Line","Polygon"
"25011","SEATING","1035","Don Gerrie Park","BENCH","N/A","N/A","    (5525799.09845171, 634587.217507953)",,,"POINT","POINT (-97.12705969455695 49.86946092446586)",,
"74489","SEATING","1361","Buhler Recreation Park","BENCH","N/A","N/A","    (5526825.46274461, 644639.267521622)",,,"POINT","POINT (-96.98687799781922 49.87634309713752)",,
"23403","SEATING","398","Rejoice Fun Park","BENCH","N/A","N/A","    (5531395.01806984, 633373.90936886)",,,"POINT","POINT (-97.14200377449372 49.92003684858885)",,
"82750","SWING SET","1029","McKittrick Park","N/A","2 BAY","N/A","    (5524426.46599734, 633302.063342286)",,,"POINT","POINT (-97.14540678315247 49.85740904777421)",,
"76611","SEATING","467","East End Cultural & Leisure Centre","BENCH","N/A","N/A","    (5530669.71407847, 636553.947000263)",,,"POINT","POINT (-97.09798561506003 49.912798929299235)",,
"162125","MONUMENT","1169","Tache Promenade","COMMEMORATIVE PLAQUE","N/A","N/A","    (5527688.59204778, 634730.138338147)",,"La Vérendrye's Journey","POINT","POINT (-97.12441384777269 49.886414239188646)",,
"134783","FITNESS EQUIPMENT","348","Dakota Park / Dakota C.C","SOLO STATION","N/A","N/A","    (5520386.84732179, 636680.07454782)",,,"POINT","POINT (-97.0998606038077 49.82033432775621)",,
"156884","SPORT COURT","894","Tuxedo C.C","PICKLEBALL","FULL COURT","No","    (5525162.08042727, 628081.755674356)",,,"POLYGON",,,"MULTIPOLYGON (((-97.21775419827938 49.865161044402, -97.21783908238756 49.86516473905989, -97.21784945793341 49.86504351656022, -97.21776378241941 49.86504124338531, -97.21775419827938 49.865161044402)))"
"109124","SEATING","625","East Elmwood Park","BENCH","N/A","N/A","    (5529697.00443503, 637885.715940652)",,,"POINT","POINT (-97.0797941053525 49.90374946630526)",,
"24474","SEATING","1361","Buhler Recreation Park","BENCH","N/A","N/A","    (5526810.62985522, 644645.049976468)",,,"POINT","POINT (-96.9868031142472 49.876208371873304)",,
"94120","PLAY STRUCTURE","1313","Kilcona Park","5 TO 12","LARGE","N/A","    (5532976.63730826, 642482.331015653)",,,"POINT","POINT (-97.01461068289406 49.93215202080882)",,
"81690","SEATING","960","Alex Bridge Park","BENCH","N/A","N/A","    (5516011.66650808, 632965.722524589)",,,"POINT","POINT (-97.1529664775514 49.78183770161814)",,
"130075","SEATING","317","Manila-Jefferson Tot Lot","ROCK","N/A","N/A","    (5535543.38315501, 630769.161078084)",,,"POINT","POINT (-97.176863103959 49.9579044872717)",,
"35060","SEATING","788","Norberry-Glenlee C.C-Walter Jennings Site","PLAYERS BENCH","N/A","N/A","    (5522725.10903359, 636847.192138736)",,,"POINT","POINT (-97.09671370503291 49.841315682699005)",,
